epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,309.42,1.60746,1.15107,1.21163,0.71195,0.56678,0.60887,0.26623,1.99787,1.74591,1.34745,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,618.296,1.61554,1.16329,1.21109,0.7046,0.56471,0.60343,0.26354,1.99669,1.74409,1.34832,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,926.197,1.60134,1.13724,1.20097,0.70468,0.56493,0.60271,0.26313,1.99713,1.73396,1.35011,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1235.62,1.60042,1.14125,1.20846,0.69733,0.5676,0.60341,0.26446,1.99857,1.73331,1.34925,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,1545.06,1.58732,1.13021,1.20205,0.69385,0.57422,0.60458,0.26474,1.99751,1.73274,1.34965,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,1854.34,1.59163,1.12593,1.20046,0.68213,0.57763,0.60365,0.2649,1.99719,1.7336,1.3497,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2163.66,1.57067,1.11126,1.19763,0.69348,0.5674,0.60316,0.26551,1.99769,1.73484,1.35333,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2473.29,1.57063,1.1038,1.19139,0.69094,0.56833,0.60206,0.26625,1.99768,1.74371,1.35312,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2787.02,1.55081,1.08053,1.18216,0.69294,0.56854,0.5994,0.2658,1.99612,1.74136,1.35446,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3112.26,1.54223,1.08135,1.18121,0.70465,0.56461,0.59963,0.26492,1.99685,1.74941,1.35558,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3424.95,1.5407,1.08088,1.18291,0.71572,0.56306,0.59901,0.26467,1.9952,1.743,1.35738,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3731.43,1.53743,1.06935,1.17611,0.71752,0.56306,0.59937,0.26497,1.99498,1.73864,1.35858,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4011.12,1.50826,0.93293,1.16316,0.68412,0.57794,0.5989,0.26481,1.99367,1.73197,1.35727,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4290.65,1.47984,0.89457,1.1509,0.71392,0.56182,0.59979,0.26624,1.99148,1.72349,1.35558,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4570.41,1.4601,0.8957,1.14456,0.71154,0.56461,0.59887,0.26663,1.99029,1.71313,1.35435,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4851.03,1.44635,0.87928,1.14231,0.7127,0.56368,0.59679,0.26683,1.98935,1.70621,1.35272,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5130.82,1.43223,0.85885,1.12973,0.71003,0.56461,0.59845,0.26848,1.98901,1.70213,1.3534,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5410.6,1.41389,0.84567,1.12388,0.71265,0.56647,0.59891,0.26943,1.98925,1.69597,1.35334,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5690.29,1.40379,0.82892,1.1198,0.71288,0.56554,0.60067,0.26974,1.98772,1.69449,1.35247,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5971.11,1.3895,0.81943,1.1095,0.71577,0.56554,0.6019,0.27014,1.98689,1.69062,1.35262,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6251.67,1.38447,0.80836,1.10177,0.71589,0.56926,0.60382,0.27109,1.9862,1.68963,1.35169,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6531.85,1.36469,0.79479,1.09632,0.71506,0.57267,0.60281,0.27106,1.98422,1.68264,1.35165,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6812.01,1.34288,0.78166,1.08668,0.71512,0.56864,0.60518,0.27236,1.98475,1.67698,1.35167,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7092.25,1.34264,0.78202,1.08771,0.71704,0.56988,0.60607,0.27315,1.98422,1.67494,1.35082,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7371.54,1.3385,0.77548,1.09195,0.7193,0.56988,0.60618,0.27381,1.98259,1.67191,1.34942,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7650.37,1.32496,0.76653,1.08383,0.72743,0.56895,0.60799,0.27431,1.98218,1.66956,1.34945,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7929.77,1.31585,0.75721,1.08219,0.72955,0.56678,0.60778,0.27522,1.98204,1.66778,1.34855,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
