epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,640.476,1.44049,0.98459,1.1614,0.6726,0.56182,0.56701,0.24534,2.03134,1.71954,1.45317,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,958.518,1.42926,0.9612,1.15489,0.67188,0.55191,0.55568,0.24384,2.03219,1.75365,1.45722,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1276.66,1.46355,1.00424,1.17052,0.68088,0.55253,0.55613,0.24176,2.02497,1.7723,1.44779,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1595.07,1.47369,1.02352,1.17805,0.68888,0.5392,0.5532,0.24181,2.02144,1.78237,1.44704,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,322.053,1.27034,0.83309,1.09551,0.68241,0.544,0.55453,0.24248,2.02732,1.79158,1.45558,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,644.039,1.31099,0.86443,1.10664,0.67644,0.54292,0.55679,0.24195,2.03326,1.7988,1.46537,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,963.485,1.31957,0.87608,1.10841,0.64057,0.56771,0.55554,0.24141,2.03404,1.80604,1.46672,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1283.97,1.38366,0.93428,1.13915,0.6459,0.55996,0.55565,0.24182,2.03514,1.80396,1.46737,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1604.01,1.42499,0.97733,1.15553,0.69447,0.52773,0.55556,0.24342,2.0377,1.79618,1.47313,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1925.32,1.51369,1.04695,1.19335,0.68093,0.53207,0.55589,0.24332,2.042,1.75468,1.48097,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2246.32,1.58124,1.11062,1.22613,0.689,0.53517,0.55715,0.24268,2.042,1.7601,1.47694,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2567.16,1.62827,1.15749,1.2442,0.68549,0.54416,0.56761,0.24633,2.03765,1.75843,1.46733,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2887.78,1.62816,1.16167,1.24594,0.71021,0.53424,0.56875,0.24836,2.02857,1.75384,1.45786,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3208.58,1.62139,1.14871,1.24728,0.66937,0.55562,0.57095,0.2502,2.02505,1.74861,1.45335,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3529.43,1.57627,1.12204,1.23133,0.67428,0.55686,0.5711,0.25213,2.02176,1.73505,1.453,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3848.74,1.59673,1.12514,1.22883,0.67884,0.555,0.57024,0.25229,2.01585,1.73069,1.44933,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4167.86,1.57624,1.10793,1.22585,0.68929,0.5516,0.57401,0.25415,2.01283,1.71919,1.44661,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
